method1_dir,method1_file,method1_startline,method1_endline,method2_dir,method2_file,method2_startline,method2_endline
default,110486.java,63,112,default,38786.java,61,117
default,2451.java,555,617,default,137292.java,576,642
selected,2175426.java,168,229,selected,2013171.java,177,238
selected,171160.java,370,475,selected,916268.java,158,253
default,55896.java,1433,1584,default,55896.java,1433,1584
default,108068.java,625,686,selected,538580.java,627,688
default,50362.java,301,362,default,2905.java,265,321
selected,1390517.java,60,132,selected,1201888.java,55,128
default,27677.java,80,165,default,27677.java,80,165
selected,1467992.java,18,125,default,48824.java,16,115
default,85594.java,571,625,default,44688.java,606,660
selected,1914198.java,400,459,selected,302292.java,511,570
default,15672.java,625,684,default,15697.java,635,694
selected,264272.java,363,425,selected,925397.java,458,520
default,11974.java,135,182,default,109003.java,135,189
selected,2551833.java,59,478,selected,459236.java,52,371
selected,777766.java,59,129,selected,2011835.java,63,149
default,60868.java,623,683,default,94873.java,737,803
selected,536828.java,59,129,selected,2011835.java,63,149
default,52174.java,304,469,default,113905.java,300,468
selected,597475.java,447,508,selected,2108660.java,461,523
selected,845126.java,169,230,selected,156984.java,145,206
default,68920.java,268,335,default,68920.java,268,335
default,28392.java,583,647,default,16144.java,583,647
default,94873.java,653,708,default,46669.java,654,709
default,85394.java,981,1039,default,77069.java,981,1039
selected,1549685.java,45,124,default,82213.java,22,102
selected,377953.java,768,822,selected,1127900.java,697,755
default,80596.java,23,84,default,107017.java,20,75
selected,1600908.java,608,672,selected,245958.java,610,674
selected,438322.java,493,545,selected,1494993.java,446,508
selected,1414847.java,353,434,selected,413784.java,353,434
default,8970.java,204,266,default,123451.java,183,246
default,96441.java,520,623,default,39186.java,520,623
selected,1037232.java,42,114,selected,336575.java,37,110
selected,1765539.java,74,175,selected,111036.java,133,239
default,63334.java,346,415,default,63334.java,417,486
default,73740.java,247,306,selected,1070076.java,241,303
default,119227.java,85,258,default,119227.java,85,258
selected,829725.java,61,139,selected,816844.java,67,169
selected,2278916.java,19,77,selected,1314942.java,19,75
default,77349.java,1151,1225,selected,1467992.java,1181,1255
selected,2140149.java,540,691,selected,1490133.java,73,228
selected,748061.java,145,215,selected,1417740.java,147,216
default,46669.java,201,389,default,60868.java,141,313
selected,15044.java,1878,1930,selected,459973.java,1713,1776
default,45488.java,726,797,default,95704.java,920,993
default,119807.java,29,83,default,80510.java,29,83
default,82870.java,40,129,selected,1467992.java,410,508
default,60778.java,223,281,default,30906.java,238,304
selected,15044.java,1732,1779,selected,2705414.java,1705,1752
default,52174.java,304,469,default,52174.java,304,469
selected,2013171.java,177,238,selected,2470041.java,169,230
selected,847160.java,19,79,selected,2278916.java,19,77
default,136560.java,1415,1623,default,136560.java,1415,1623
