method1_dir,method1_file,method1_startline,method1_endline,method2_dir,method2_file,method2_startline,method2_endline
selected,2235486.java,648,662,selected,1484507.java,569,586
default,36821.java,696,713,default,75028.java,928,941
selected,2340381.java,49,65,selected,2011835.java,47,61
selected,1241203.java,31,38,selected,1771305.java,47,56
selected,1847267.java,22,32,selected,689260.java,13,23
selected,1427100.java,126,137,selected,162711.java,128,139
selected,1323102.java,323,338,selected,2007106.java,410,426
default,46586.java,50,61,default,17517.java,50,61
default,92257.java,397,409,default,92257.java,430,443
default,108171.java,450,459,default,128221.java,506,515
selected,1223791.java,298,309,selected,1440410.java,349,360
selected,2084623.java,930,938,selected,2084623.java,960,968
selected,442681.java,59,71,selected,2318883.java,217,230
default,79012.java,667,685,default,93531.java,546,568
default,111141.java,95,108,default,133291.java,95,108
default,132686.java,87,103,default,31130.java,87,103
selected,1572991.java,1513,1527,selected,1972283.java,128,141
default,62476.java,126,138,default,120094.java,126,138
default,35432.java,667,685,default,62679.java,522,544
default,126614.java,306,344,default,101032.java,306,344
selected,1314942.java,136,148,selected,708312.java,159,171
default,17517.java,30,44,selected,221883.java,188,201
default,56485.java,370,377,default,25960.java,96,105
selected,102108.java,730,745,selected,966121.java,895,911
selected,1730372.java,56,62,selected,2731160.java,17,23
default,92257.java,851,866,default,92257.java,868,883
selected,1794761.java,128,139,selected,2125396.java,132,143
selected,1782576.java,250,260,selected,2509245.java,311,321
default,66239.java,99,107,default,137593.java,113,121
default,11974.java,385,390,default,11262.java,405,410
selected,802547.java,129,139,selected,1416327.java,160,170
selected,149123.java,568,596,selected,656204.java,568,596
default,52305.java,90,172,default,1325.java,90,172
selected,1044401.java,976,997,selected,1153223.java,934,955
default,70088.java,650,667,default,79012.java,648,665
default,97360.java,669,687,default,70088.java,631,648
selected,658234.java,786,801,selected,2140356.java,255,271
selected,700579.java,29,37,selected,280180.java,31,39
default,6937.java,297,306,default,79086.java,260,270
default,21681.java,570,590,default,90537.java,572,592
selected,1477354.java,162,169,selected,1126797.java,30,36
default,23689.java,806,815,default,94364.java,806,815
default,96468.java,72,79,selected,2291746.java,44,50
selected,768929.java,569,576,selected,768929.java,604,611
default,19543.java,413,448,default,85894.java,413,448
selected,1572991.java,524,546,selected,337748.java,513,535
default,107779.java,380,402,default,90009.java,648,665
default,137408.java,526,534,default,74245.java,526,534
default,6650.java,91,97,selected,1367083.java,833,839
selected,1875466.java,24,30,selected,829725.java,24,30
default,131165.java,706,713,selected,2216273.java,32,39
default,83085.java,308,315,selected,1440410.java,321,328
default,105947.java,31,54,default,95529.java,31,54
selected,1422595.java,625,644,selected,284272.java,778,797
default,62365.java,592,602,default,42612.java,592,602
selected,2308223.java,418,427,selected,127068.java,860,869
selected,238734.java,411,426,selected,2512321.java,231,245
selected,2098589.java,651,666,selected,2098589.java,668,685
default,82554.java,620,630,default,3128.java,620,630
default,83219.java,179,219,default,67921.java,179,219
selected,2727594.java,626,635,selected,1090867.java,706,716
selected,2701118.java,352,362,selected,700852.java,289,299
selected,261214.java,25,33,selected,87568.java,17,26
selected,1782576.java,210,244,selected,1422595.java,488,524
default,42612.java,546,568,default,62111.java,648,665
selected,623641.java,410,423,selected,2274143.java,422,438
selected,2701118.java,288,298,selected,700852.java,289,299
default,20586.java,98,124,default,30055.java,98,124
selected,733142.java,67,74,selected,967523.java,240,247
selected,1459050.java,425,433,selected,652351.java,27,35
default,820.java,358,365,default,93531.java,358,365
selected,127068.java,1011,1020,selected,2230931.java,400,410
default,6658.java,202,265,default,130814.java,202,265
default,21751.java,126,130,default,38445.java,126,130
selected,2636968.java,661,668,selected,2485419.java,233,241
default,123451.java,80,84,default,71677.java,80,84
selected,1874336.java,311,326,selected,1933266.java,313,328
default,16496.java,99,111,default,23336.java,99,111
default,16496.java,93,97,default,125703.java,93,97
selected,2554628.java,148,155,selected,451725.java,212,219
default,16429.java,105,116,default,32268.java,112,123
selected,2279161.java,107,110,selected,2279161.java,187,190
default,103146.java,546,568,default,3389.java,631,648
selected,1085171.java,39,45,selected,570942.java,95,101
default,92221.java,101,109,selected,240671.java,771,779
selected,1321892.java,823,832,selected,1812318.java,504,514
default,21860.java,200,214,default,11262.java,204,220
default,102948.java,135,182,default,118496.java,135,189
selected,489809.java,146,158,selected,2092578.java,319,335
selected,1642987.java,230,236,selected,649245.java,66,72
default,37949.java,229,242,default,56486.java,229,242
selected,1404994.java,133,163,selected,1650946.java,8,38
selected,1181737.java,82,89,selected,1667191.java,129,136
default,32654.java,414,433,default,73352.java,414,435
default,28859.java,513,531,default,74778.java,451,466
selected,1400038.java,76,85,selected,1477354.java,263,270
selected,1098066.java,222,254,selected,642676.java,222,254
default,74778.java,226,242,default,11262.java,271,287
selected,1923478.java,899,905,selected,1262287.java,878,884
selected,2065465.java,42,49,selected,1577658.java,192,199
selected,519847.java,49,58,selected,1589469.java,318,325
selected,2360489.java,53,101,selected,2376672.java,64,112
selected,2335702.java,533,554,selected,2335702.java,852,869
selected,1098325.java,333,341,selected,1016496.java,333,341
selected,1593903.java,39,46,selected,884600.java,120,128
selected,1402632.java,838,864,selected,1561076.java,908,934
selected,1232074.java,22,29,selected,2308149.java,140,147
selected,963750.java,72,78,selected,1276475.java,24,30
default,32033.java,679,690,default,86702.java,745,756
selected,1054172.java,190,198,selected,2273247.java,104,111
selected,1285424.java,977,983,selected,1923478.java,977,983
selected,1893753.java,79,94,selected,1098670.java,117,133
selected,405606.java,699,717,selected,125669.java,71,90
default,76132.java,142,148,default,76927.java,142,148
selected,304936.java,333,374,selected,597475.java,333,374
selected,963750.java,72,78,selected,1478898.java,33,39
default,51702.java,184,198,default,118948.java,184,198
default,8509.java,216,229,default,36934.java,238,251
selected,951517.java,56,64,selected,951517.java,602,611
selected,149682.java,86,93,selected,1161231.java,42,49
selected,388777.java,69,80,selected,1957335.java,120,131
selected,1299858.java,790,801,selected,245075.java,803,814
selected,211182.java,655,664,selected,100172.java,792,802
selected,2087638.java,569,585,selected,1161059.java,633,649
selected,1490133.java,230,260,selected,1161059.java,596,631
selected,594135.java,117,128,selected,2710516.java,141,152
selected,787983.java,58,67,selected,1243449.java,158,166
default,31770.java,11,28,default,66132.java,11,28
selected,529257.java,11,18,selected,1613503.java,148,155
selected,2308223.java,347,357,selected,849450.java,355,365
selected,127068.java,1026,1035,selected,127068.java,1897,1906
selected,2248635.java,142,147,selected,2738075.java,77,82
default,21681.java,199,206,default,115118.java,199,206
selected,2319397.java,275,290,selected,1490133.java,502,520
default,51700.java,650,667,default,23409.java,570,590
selected,2020414.java,120,126,selected,2433667.java,328,334
selected,2278916.java,79,84,selected,2721373.java,85,90
selected,2386208.java,113,122,selected,2684508.java,121,131
selected,868705.java,550,558,selected,2587973.java,521,529
selected,1391496.java,195,206,selected,331440.java,150,161
selected,1812318.java,534,544,selected,2587973.java,581,589
selected,1271133.java,298,306,selected,218745.java,53,62
selected,2308223.java,207,215,selected,209583.java,209,217
selected,1686593.java,98,107,selected,1181737.java,82,89
selected,497477.java,277,283,selected,1620518.java,175,181
default,99553.java,56,63,default,133515.java,199,206
selected,1372864.java,483,492,selected,1527985.java,932,941
selected,1782576.java,585,604,selected,1712367.java,655,674
selected,2642341.java,168,183,selected,2642341.java,255,273
default,130704.java,46,60,default,115701.java,48,62
selected,2096340.java,157,165,selected,1675391.java,218,227
selected,159393.java,204,216,selected,1726071.java,202,215
selected,1143926.java,17,26,selected,1093931.java,154,164
default,40654.java,381,392,default,65982.java,381,392
selected,1134806.java,235,268,selected,1134806.java,270,302
selected,1480336.java,116,125,selected,34723.java,412,420
selected,1544487.java,197,208,selected,1544487.java,225,236
selected,1030949.java,323,336,selected,1017245.java,259,272
selected,1995145.java,363,374,selected,538598.java,280,291
selected,1637296.java,48,54,selected,505109.java,47,54
selected,2415495.java,32,49,selected,1495862.java,49,65
selected,1700789.java,55,64,selected,1427100.java,70,78
selected,670125.java,74,83,selected,856979.java,128,137
default,20914.java,245,251,selected,2146328.java,307,313
selected,2721373.java,19,83,selected,323806.java,19,67
