method1_dir,method1_file,method1_startline,method1_endline,method2_dir,method2_file,method2_startline,method2_endline
default,111045.java,127,148,default,125700.java,127,148
default,67140.java,21,25,default,92231.java,40,44
selected,12796.java,152,163,selected,942446.java,105,116
selected,1656760.java,361,373,selected,847160.java,243,255
default,49646.java,191,270,default,76892.java,191,270
default,110422.java,39,60,default,47509.java,39,60
selected,626015.java,167,172,selected,626015.java,181,186
selected,847960.java,124,137,selected,847960.java,139,152
selected,102405.java,506,508,selected,1804569.java,489,491
default,125676.java,68,125,default,84498.java,68,125
selected,2679356.java,48,52,selected,540636.java,48,52
selected,2730348.java,239,243,selected,515120.java,642,646
selected,1413939.java,70,77,selected,1736558.java,72,79
default,125676.java,286,320,default,97676.java,286,320
default,136560.java,1344,1364,default,90813.java,1341,1361
selected,2705414.java,1616,1621,selected,316575.java,1621,1626
default,100801.java,573,587,default,103538.java,573,587
default,129748.java,573,587,default,3880.java,573,587
default,73197.java,380,401,selected,972498.java,387,408
selected,1613515.java,786,794,selected,1613515.java,809,817
selected,2233792.java,175,186,selected,667580.java,63,74
selected,2376640.java,1388,1408,selected,2376640.java,1414,1434
selected,1446080.java,84,118,selected,2614295.java,114,148
selected,1321892.java,477,485,selected,2286616.java,586,594
default,125676.java,330,347,default,88856.java,330,347
selected,1402930.java,174,208,selected,1402930.java,223,255
default,132820.java,356,368,default,73087.java,355,367
default,116906.java,280,289,default,65982.java,280,289
selected,542262.java,211,231,selected,768374.java,296,316
default,115197.java,5,79,default,62770.java,5,79
selected,102850.java,13,30,selected,1707897.java,13,30
default,124449.java,631,639,default,9944.java,631,639
default,111045.java,32,62,default,50893.java,32,62
selected,2225736.java,400,414,selected,2387507.java,179,193
selected,2262634.java,36,42,selected,2483998.java,36,42
selected,1680080.java,330,340,selected,1680080.java,350,360
selected,1342225.java,83,149,selected,750450.java,106,170
selected,1038562.java,54,58,selected,1511251.java,46,50
selected,256359.java,96,103,selected,783705.java,96,103
default,103146.java,705,713,default,24546.java,705,713
selected,100172.java,23,37,selected,448380.java,208,222
default,125676.java,203,219,default,84498.java,203,219
default,110450.java,47,58,selected,1710248.java,49,60
selected,1930082.java,829,835,selected,2146328.java,307,313
default,33579.java,179,191,default,69789.java,179,191
default,101757.java,866,892,default,23689.java,866,892
default,96986.java,66,79,selected,748827.java,37,48
selected,1024232.java,33,43,selected,2409817.java,26,36
selected,2026589.java,99,116,selected,2526434.java,92,109
default,109645.java,306,322,selected,1808137.java,182,198
default,85394.java,573,603,selected,1931054.java,575,605
default,116282.java,9,23,default,46750.java,9,23
default,122954.java,981,1039,selected,1139080.java,987,1045
default,29512.java,521,547,default,29512.java,579,601
selected,1687730.java,171,183,selected,538027.java,181,193
selected,1616011.java,505,541,selected,1782576.java,478,514
selected,100172.java,236,245,selected,748535.java,83,92
selected,1445534.java,465,473,selected,857433.java,682,690
selected,2320712.java,740,748,selected,64495.java,669,677
default,126904.java,678,704,selected,2599719.java,680,706
selected,2465429.java,338,349,selected,2465429.java,377,390
selected,88478.java,571,583,selected,88478.java,1016,1028
