method1_dir,method1_file,method1_startline,method1_endline,method2_dir,method2_file,method2_startline,method2_endline
selected,355856.java,598,615,selected,355856.java,617,634
default,137408.java,346,377,default,118496.java,362,393
default,67675.java,606,619,default,44208.java,604,617
default,5593.java,208,227,default,97228.java,208,227
selected,1090867.java,670,680,selected,1321892.java,625,635
default,69184.java,184,198,default,85894.java,197,213
selected,1484507.java,255,270,selected,1484507.java,531,548
default,32744.java,615,622,default,51560.java,642,649
default,32536.java,297,306,default,115118.java,297,306
default,48622.java,63,67,default,113805.java,63,67
default,35053.java,687,703,default,15343.java,687,703
default,49247.java,648,665,default,76392.java,667,685
default,16641.java,619,627,default,79012.java,619,627
selected,1017245.java,583,591,selected,2286616.java,729,737
default,22797.java,344,370,default,72479.java,344,370
selected,597475.java,984,1040,selected,375037.java,996,1052
selected,2392487.java,549,580,selected,102108.java,910,942
default,67537.java,243,259,default,116202.java,231,247
selected,2180965.java,670,689,selected,497716.java,692,711
default,51635.java,26,41,default,58736.java,9,24
default,66305.java,629,646,default,820.java,629,646
default,111141.java,55,69,default,83797.java,55,69
default,8970.java,386,400,default,4320.java,304,318
selected,375037.java,1220,1229,selected,59218.java,1096,1105
selected,1933266.java,261,275,selected,1700789.java,183,197
default,3128.java,280,301,default,62109.java,280,301
default,124843.java,459,472,default,86322.java,459,472
default,57585.java,541,563,default,24546.java,546,568
selected,310688.java,50,68,selected,2240414.java,50,68
default,85301.java,64,71,default,11030.java,64,71
default,8952.java,522,544,default,63015.java,548,570
default,35053.java,394,404,default,820.java,394,404
default,6756.java,183,197,default,121616.java,183,197
selected,2357427.java,121,159,selected,877200.java,128,169
default,129715.java,243,252,default,42612.java,243,252
default,99399.java,552,563,default,94357.java,536,547
default,31509.java,328,366,default,5224.java,309,347
default,135777.java,43,52,default,53413.java,43,52
default,42530.java,189,249,default,121041.java,188,251
default,57168.java,629,646,default,42993.java,643,660
default,10101.java,201,210,default,84501.java,186,195
default,53104.java,367,379,default,133515.java,367,379
default,134599.java,48,62,default,126732.java,48,62
default,74245.java,200,214,default,26187.java,200,214
default,5251.java,110,197,default,76392.java,110,197
default,43190.java,522,544,default,97360.java,524,546
default,107631.java,357,388,default,101001.java,355,387
